struct_type,sweep_id,observation_id,validation_loss,MaxEpochs,alignn_layers,batch_size,embedding_features,gcn_layers,hidden_features,log_lr,reduceLR_patience
unrelaxed,wandb-i9iun9xf,observ_3pqlvdqy,0.020369891309199056,100,6,9,64,6,256,-3,26
unrelaxed,wandb-i9iun9xf,observ_ah6cg7vx,0.019261028899679206,100,5,8,64,6,256,-4,27
unrelaxed,wandb-i9iun9xf,observ_bg53bgad,0.01943297011864546,100,5,11,128,6,256,-4,20
unrelaxed,wandb-i9iun9xf,observ_s11q6vea,0.020560250493034882,100,6,9,128,6,512,-3,30
unrelaxed,wandb-i9iun9xf,observ_xbu3sc2c,0.02076186936770944,100,3,6,64,5,128,-3,27
unrelaxed,wandb-i9iun9xf,observ_ejexfo6s,0.019681697828948977,100,6,8,128,6,512,-3,27
unrelaxed,wandb-i9iun9xf,observ_69k9yjl3,0.021331079322633246,100,5,6,64,5,128,-3,24
unrelaxed,wandb-i9iun9xf,observ_1qn0gbyq,0.020474106116909915,100,5,10,64,5,128,-3,30
unrelaxed,wandb-i9iun9xf,observ_pwk16rzx,0.020880407359839044,100,6,7,128,6,256,-3,29
unrelaxed,wandb-i9iun9xf,observ_r0vxo9yv,0.02632888836987439,100,2,5,64,6,512,-2,25
unrelaxed,wandb-i9iun9xf,observ_8e2xqdss,0.024433696263279406,100,4,7,64,5,256,-2,26
unrelaxed,wandb-i9iun9xf,observ_pgv7r6pl,0.020493698372383812,100,5,9,32,6,256,-4,28
unrelaxed,wandb-i9iun9xf,observ_ydss7agj,0.02052261755975312,100,6,6,128,2,256,-3,27
unrelaxed,wandb-i9iun9xf,observ_ib03sjqs,0.020369071740729657,100,5,8,64,6,256,-3,25
unrelaxed,wandb-i9iun9xf,observ_m1gvc7lx,0.02027558989320738,100,5,10,128,5,128,-4,26
unrelaxed,wandb-i9iun9xf,observ_els666qd,0.02093756203404748,100,6,6,64,5,256,-3,25
unrelaxed,wandb-i9iun9xf,observ_2maxul4v,0.019476091844732046,100,6,11,128,6,256,-3,27
unrelaxed,wandb-i9iun9xf,observ_v6m1sv32,0.020081233155542434,100,6,11,128,6,256,-4,18
unrelaxed,wandb-i9iun9xf,observ_7l5n2ky1,0.020671370877543744,100,6,9,128,6,256,-3,29
unrelaxed,wandb-i9iun9xf,observ_owrekiq5,0.020515276565083018,100,5,6,64,6,128,-4,27
unrelaxed,wandb-i9iun9xf,observ_basohgia,0.0214259860214479,100,5,6,128,5,128,-3,29
unrelaxed,wandb-i9iun9xf,observ_nnft0xw2,0.020323598930960814,100,5,7,64,5,256,-4,28
unrelaxed,wandb-i9iun9xf,observ_3z37x5tt,0.020333758868953868,100,5,6,64,6,256,-4,26
